Journal ID,Journal Date,GL Account,Account Description,Amount,Line Description,Long Description,Operator ID,Operator,Line Number,Period,Year,Source,Journal Entry Date,Vendor ID,Vendor Name,Ref. / Invoice No / Voucher ID,Customer ID,Customer Name,Biller ID
EMSCQ60981,4/08/2023,2921,IT/ICT Equipment <$10k,1351.74,Purchase Core Electronics,Fraedom Card Acquittals,FSBATC01,Ivan Tom,775,8,2023,SPA,7/08/2023,1024,Core Electronics,1233489,a1111111,Abby Bede,001100
APA0515664,6/04/2023,2921,"IT/ICT, Equipment <$10k",250,UPH - Deployment To Your Desk,AP Voucher Accrual,FSBATC01,Ivan Tom,508,4,2023,AP,6/04/2023,53901,Computers Now Pty Ltd,K0609587,a2222222,Connor David,002200
APA0515664,6/04/2023,2921,IT/ICT Equipment <$10k,80,UPH - Software Co-ordination a,AP Voucher Accrual,FSBATC01,Ivan Tom,503,4,2023,AP,6/04/2023,53901,Computers Now Pty Ltd,K0609587,a2222222,Connor David,002200
APA0515664,6/04/2023,2921,IT/ICT Equipment <$10k,1425.2,"Dell P-Series 23.8"" (16:9) IPS",AP Voucher Accrual,FSBATC01,Ivan Tom,492,4,2023,AP,6/04/2023,53901,Computers Now Pty Ltd,K0609587,a2222222,Connor David,002200
APA0515664,6/04/2023,2921,IT/ICT Equipment <$10k,10,UPH - Asset Tag,AP Voucher Accrual,FSBATC01,Ivan Tom,491,4,2023,AP,6/04/2023,53901,Computers Now Pty Ltd,K0609587,a2222222,Connor David,002200
APA0515664,6/04/2023,2921,IT/ICT Equipment <$10k,20,UPH - Standard Image Install,AP Voucher Accrual,FSBATC01,Ivan Tom,505,4,2023,AP,6/04/2023,53901,Computers Now Pty Ltd,K0609587,a2222222,Connor David,002200
APA0515664,6/04/2023,2921,IT/ICT Equipment <$10k,5529.8,HP Z1 G9 TWR I7-12700 32GB 512,AP Voucher Accrual,FSBATC01,Ivan Tom,510,4,2023,AP,6/04/2023,53901,Computers Now Pty Ltd,K0609587,a2222222,Connor David,002200
APA0515664,6/04/2023,2921,IT/ICT Equipment <$10k,10,UPH-New to Service Tagging,AP Voucher Accrual,FSBATC01,Ivan Tom,507,4,2023,AP,6/04/2023,53901,Computers Now Pty Ltd,K0609587,a2222222,Connor David,002200
APA0515664,6/04/2023,2921,IT/ICT Equipment <$10k,20,UPH-New to Service Tagging,AP Voucher Accrual,FSBATC01,Ivan Tom,509,4,2023,AP,6/04/2023,53901,Computers Now Pty Ltd,K0609587,a2222222,Connor David,002200
APA0515664,6/04/2023,2921,IT/ICT Equipment <$10k,62.02,HP 3YR Parts & Labour next bus,AP Voucher Accrual,FSBATC01,Ivan Tom,506,4,2023,AP,6/04/2023,53901,Computers Now Pty Ltd,K0609587,a2222222,Connor David,002200
APA0515664,6/04/2023,2921,IT/ICT Equipment <$10k,20,UPH - Asset Tag,AP Voucher Accrual,FSBATC01,Ivan Tom,504,4,2023,AP,6/04/2023,53901,Computers Now Pty Ltd,K0609587,a2222222,Connor David,002200
APA0515540,4/04/2023,2921,IT/ICT Equipment <$10k,3.26,UPH-New to Service Tagging,AP Voucher Accrual,FSBATC01,Ivan Tom,700,4,2023,AP,4/04/2023,53901,Computers Now Pty Ltd,K0607976,a3333333,Emmet Frank,003300
APA0515540,4/04/2023,2921,IT/ICT Equipment <$10k,81.42,UPH - Deployment To Your Desk,AP Voucher Accrual,FSBATC01,Ivan Tom,726,4,2023,AP,4/04/2023,53901,Computers Now Pty Ltd,K0607976,a3333333,Emmet Frank,003300
APA0515540,4/04/2023,2921,IT/ICT Equipment <$10k,26.06,UPH - Software Co-ordination a,AP Voucher Accrual,FSBATC01,Ivan Tom,691,4,2023,AP,4/04/2023,53901,Computers Now Pty Ltd,K0607976,a3333333,Emmet Frank,003300
APA0515540,4/04/2023,2921,IT/ICT Equipment <$10k,3.26,UPH - Asset Tag,AP Voucher Accrual,FSBATC01,Ivan Tom,681,4,2023,AP,4/04/2023,53901,Computers Now Pty Ltd,K0607976,a3333333,Emmet Frank,003300
APA0515540,4/04/2023,2921,IT/ICT Equipment <$10k,6.51,UPH - Standard Image Install,AP Voucher Accrual,FSBATC01,Ivan Tom,724,4,2023,AP,4/04/2023,53901,Computers Now Pty Ltd,K0607976,a3333333,Emmet Frank,003300
APA0515540,4/04/2023,2921,IT/ICT Equipment <$10k,2669.73,QO230320-57862 - Leader CTO,AP Voucher Accrual,FSBATC01,Ivan Tom,728,4,2023,AP,4/04/2023,53901,Computers Now Pty Ltd,K0607976,a3333333,Emmet Frank,003300
